2026-08-31
PvEstimate,PvEstimate10,PvEstimate90,PeriodEnd,Period
0.0,0.0,0.0,2026-09-01T01:30:00Z,PT30M
0.0,0.0,0.0,2026-09-01T02:00:00Z,PT30M
0.0,0.0,0.0,2026-09-01T02:30:00Z,PT30M
0.0,0.0,0.0,2026-09-01T03:00:00Z,PT30M
0.0,0.0,0.0,2026-09-01T03:30:00Z,PT30M
0.0,0.0,0.0,2026-09-01T04:00:00Z,PT30M
0.0,0.0,0.0,2026-09-01T04:30:00Z,PT30M
0.0,0.0,0.0,2026-09-01T05:00:00Z,PT30M
0.0382,0.0262,0.0382,2026-09-01T05:30:00Z,PT30M
0.2558,0.1259,0.2595,2026-09-01T06:00:00Z,PT30M
0.8344,0.3734,0.8344,2026-09-01T06:30:00Z,PT30M
1.4546,0.7414,1.4546,2026-09-01T07:00:00Z,PT30M
2.089,1.1369,2.089,2026-09-01T07:30:00Z,PT30M
2.6746,1.5226,2.6746,2026-09-01T08:00:00Z,PT30M
3.1999,1.8787,3.1999,2026-09-01T08:30:00Z,PT30M
3.6715,2.1989,3.6715,2026-09-01T09:00:00Z,PT30M
4.0904,2.4524,4.0904,2026-09-01T09:30:00Z,PT30M
4.4081,2.6365,4.4081,2026-09-01T10:00:00Z,PT30M
4.631,2.7695,4.631,2026-09-01T10:30:00Z,PT30M
4.7957,2.8533,4.7957,2026-09-01T11:00:00Z,PT30M
4.8877,2.9071,4.8877,2026-09-01T11:30:00Z,PT30M
4.9032,2.9206,4.9032,2026-09-01T12:00:00Z,PT30M
4.8063,2.8616,4.838,2026-09-01T12:30:00Z,PT30M
4.6377,2.7626,4.7307,2026-09-01T13:00:00Z,PT30M
4.3744,2.5827,4.4953,2026-09-01T13:30:00Z,PT30M
4.1138,2.3925,4.2323,2026-09-01T14:00:00Z,PT30M
3.7618,2.1465,3.877,2026-09-01T14:30:00Z,PT30M
3.3377,1.8804,3.4643,2026-09-01T15:00:00Z,PT30M
2.7894,1.4917,2.9768,2026-09-01T15:30:00Z,PT30M
2.1442,1.0651,2.4172,2026-09-01T16:00:00Z,PT30M
1.5726,0.7003,1.8431,2026-09-01T16:30:00Z,PT30M
1.0261,0.405,1.2252,2026-09-01T17:00:00Z,PT30M
0.5057,0.1426,0.6391,2026-09-01T17:30:00Z,PT30M
0.1346,0.0448,0.1516,2026-09-01T18:00:00Z,PT30M
0.0139,0.0035,0.0169,2026-09-01T18:30:00Z,PT30M
0.0,0.0,0.0,2026-09-01T19:00:00Z,PT30M
0.0,0.0,0.0,2026-09-01T19:30:00Z,PT30M
0.0,0.0,0.0,2026-09-01T20:00:00Z,PT30M
0.0,0.0,0.0,2026-09-01T20:30:00Z,PT30M
0.0,0.0,0.0,2026-09-01T21:00:00Z,PT30M
0.0,0.0,0.0,2026-09-01T21:30:00Z,PT30M
0.0,0.0,0.0,2026-09-01T22:00:00Z,PT30M
0.0,0.0,0.0,2026-09-01T22:30:00Z,PT30M
0.0,0.0,0.0,2026-09-01T23:00:00Z,PT30M
0.0,0.0,0.0,2026-09-01T23:30:00Z,PT30M
0.0,0.0,0.0,2026-09-02,PT30M
0.0,0.0,0.0,2026-09-02T00:30:00Z,PT30M
0.0,0.0,0.0,2026-09-02T01:00:00Z,PT30M
0.0,0.0,0.0,2026-09-02T01:30:00Z,PT30M
0.0,0.0,0.0,2026-09-02T02:00:00Z,PT30M
0.0,0.0,0.0,2026-09-02T02:30:00Z,PT30M
0.0,0.0,0.0,2026-09-02T03:00:00Z,PT30M
0.0,0.0,0.0,2026-09-02T03:30:00Z,PT30M
0.0,0.0,0.0,2026-09-02T04:00:00Z,PT30M
0.0,0.0,0.0,2026-09-02T04:30:00Z,PT30M
0.0,0.0,0.0,2026-09-02T05:00:00Z,PT30M
0.0333,0.0148,0.0344,2026-09-02T05:30:00Z,PT30M
0.1651,0.0734,0.2525,2026-09-02T06:00:00Z,PT30M
0.514,0.1912,0.7939,2026-09-02T06:30:00Z,PT30M
1.0076,0.4986,1.4244,2026-09-02T07:00:00Z,PT30M
1.4848,0.7969,2.0222,2026-09-02T07:30:00Z,PT30M
1.918,1.0566,2.6017,2026-09-02T08:00:00Z,PT30M
2.3831,1.3695,3.1292,2026-09-02T08:30:00Z,PT30M
2.9163,1.8064,3.5849,2026-09-02T09:00:00Z,PT30M
3.3764,2.1906,3.9813,2026-09-02T09:30:00Z,PT30M
3.7385,2.5225,4.2784,2026-09-02T10:00:00Z,PT30M
4.0301,2.7882,4.5195,2026-09-02T10:30:00Z,PT30M
4.2374,2.9806,4.6868,2026-09-02T11:00:00Z,PT30M
4.3048,3.0343,4.7766,2026-09-02T11:30:00Z,PT30M
4.2309,2.9317,4.7685,2026-09-02T12:00:00Z,PT30M
4.0615,2.75,4.7254,2026-09-02T12:30:00Z,PT30M
3.7649,2.4527,4.586,2026-09-02T13:00:00Z,PT30M
3.5832,2.2943,4.3872,2026-09-02T13:30:00Z,PT30M
3.493,2.2472,4.1194,2026-09-02T14:00:00Z,PT30M
3.3017,2.1318,3.7535,2026-09-02T14:30:00Z,PT30M
3.0467,1.9755,3.3483,2026-09-02T15:00:00Z,PT30M
2.6811,1.7066,2.8901,2026-09-02T15:30:00Z,PT30M
2.2036,1.3528,2.3642,2026-09-02T16:00:00Z,PT30M
1.6653,0.9602,1.7908,2026-09-02T16:30:00Z,PT30M
1.1028,0.579,1.1903,2026-09-02T17:00:00Z,PT30M
0.5484,0.2282,0.6101,2026-09-02T17:30:00Z,PT30M
0.1334,0.0719,0.14007,2026-09-02T18:00:00Z,PT30M
0.0138,0.0069,0.01449,2026-09-02T18:30:00Z,PT30M
0.0,0.0,0.0,2026-09-02T19:00:00Z,PT30M
0.0,0.0,0.0,2026-09-02T19:30:00Z,PT30M
0.0,0.0,0.0,2026-09-02T20:00:00Z,PT30M
0.0,0.0,0.0,2026-09-02T20:30:00Z,PT30M
0.0,0.0,0.0,2026-09-02T21:00:00Z,PT30M
0.0,0.0,0.0,2026-09-02T21:30:00Z,PT30M
0.0,0.0,0.0,2026-09-02T22:00:00Z,PT30M
0.0,0.0,0.0,2026-09-02T22:30:00Z,PT30M
0.0,0.0,0.0,2026-09-02T23:00:00Z,PT30M
0.0,0.0,0.0,2026-09-02T23:30:00Z,PT30M
0.0,0.0,0.0,2026-09-03,PT30M
0.0,0.0,0.0,2026-09-03T00:30:00Z,PT30M
0.0,0.0,0.0,2026-09-03T01:00:00Z,PT30M
0.0,0.0,0.0,2026-09-03T01:30:00Z,PT30M
0.0,0.0,0.0,2026-09-03T02:00:00Z,PT30M
0.0,0.0,0.0,2026-09-03T02:30:00Z,PT30M
0.0,0.0,0.0,2026-09-03T03:00:00Z,PT30M
0.0,0.0,0.0,2026-09-03T03:30:00Z,PT30M
0.0,0.0,0.0,2026-09-03T04:00:00Z,PT30M
0.0,0.0,0.0,2026-09-03T04:30:00Z,PT30M
0.0,0.0,0.0,2026-09-03T05:00:00Z,PT30M
0.0278,0.0264099999999999,0.0278,2026-09-03T05:30:00Z,PT30M
0.2468,0.1793,0.2476,2026-09-03T06:00:00Z,PT30M
0.7924,0.5676,0.8033,2026-09-03T06:30:00Z,PT30M
1.4319,1.0655,1.4397,2026-09-03T07:00:00Z,PT30M
2.0654,1.568,2.0654,2026-09-03T07:30:00Z,PT30M
2.6467,2.0528,2.6467,2026-09-03T08:00:00Z,PT30M
3.165,2.4776,3.165,2026-09-03T08:30:00Z,PT30M
3.6207,2.8579,3.6207,2026-09-03T09:00:00Z,PT30M
4.0087,3.1724,4.0087,2026-09-03T09:30:00Z,PT30M
4.3146,3.4239,4.3146,2026-09-03T10:00:00Z,PT30M
4.5407,3.6135,4.5407,2026-09-03T10:30:00Z,PT30M
4.7076,3.7506,4.7076,2026-09-03T11:00:00Z,PT30M
4.7991,3.8397,4.7991,2026-09-03T11:30:00Z,PT30M
4.8157,3.8778,4.8157,2026-09-03T12:00:00Z,PT30M
4.7027,3.8093,4.7027,2026-09-03T12:30:00Z,PT30M
4.5232,3.6736,4.5232,2026-09-03T13:00:00Z,PT30M
4.3035,3.501,4.3035,2026-09-03T13:30:00Z,PT30M
4.0316,3.2848,4.0316,2026-09-03T14:00:00Z,PT30M
3.6985,3.0233,3.6985,2026-09-03T14:30:00Z,PT30M
3.2858,2.6977,3.2858,2026-09-03T15:00:00Z,PT30M
2.8029,2.3012,2.8029,2026-09-03T15:30:00Z,PT30M
2.2822,1.8669,2.2822,2026-09-03T16:00:00Z,PT30M
1.7017,1.3791,1.7017,2026-09-03T16:30:00Z,PT30M
1.108,0.8864,1.108,2026-09-03T17:00:00Z,PT30M
0.5503,0.4254,0.5503,2026-09-03T17:30:00Z,PT30M
0.1274,0.1204,0.1274,2026-09-03T18:00:00Z,PT30M
0.0102,0.00969,0.0102,2026-09-03T18:30:00Z,PT30M
0.0,0.0,0.0,2026-09-03T19:00:00Z,PT30M
0.0,0.0,0.0,2026-09-03T19:30:00Z,PT30M
0.0,0.0,0.0,2026-09-03T20:00:00Z,PT30M
0.0,0.0,0.0,2026-09-03T20:30:00Z,PT30M
0.0,0.0,0.0,2026-09-03T21:00:00Z,PT30M
0.0,0.0,0.0,2026-09-03T21:30:00Z,PT30M
0.0,0.0,0.0,2026-09-03T22:00:00Z,PT30M
0.0,0.0,0.0,2026-09-03T22:30:00Z,PT30M
0.0,0.0,0.0,2026-09-03T23:00:00Z,PT30M
0.0,0.0,0.0,2026-09-03T23:30:00Z,PT30M
0.0,0.0,0.0,2026-09-04,PT30M
0.0,0.0,0.0,2026-09-04T00:30:00Z,PT30M
0.0,0.0,0.0,2026-09-04T01:00:00Z,PT30M
0.0,0.0,0.0,2026-09-04T01:30:00Z,PT30M
0.0,0.0,0.0,2026-09-04T02:00:00Z,PT30M
0.0,0.0,0.0,2026-09-04T02:30:00Z,PT30M
0.0,0.0,0.0,2026-09-04T03:00:00Z,PT30M
0.0,0.0,0.0,2026-09-04T03:30:00Z,PT30M
0.0,0.0,0.0,2026-09-04T04:00:00Z,PT30M
0.0,0.0,0.0,2026-09-04T04:30:00Z,PT30M
0.0,0.0,0.0,2026-09-04T05:00:00Z,PT30M
0.0283,0.026885,0.0283,2026-09-04T05:30:00Z,PT30M
0.2019,0.1828,0.2019,2026-09-04T06:00:00Z,PT30M
0.7376,0.6305,0.7376,2026-09-04T06:30:00Z,PT30M
1.316,1.135,1.316,2026-09-04T07:00:00Z,PT30M
1.9235,1.6716,1.9235,2026-09-04T07:30:00Z,PT30M
2.4883,2.1645,2.4883,2026-09-04T08:00:00Z,PT30M
2.9964,2.606,2.9964,2026-09-04T08:30:00Z,PT30M
3.4354,2.9856,3.4354,2026-09-04T09:00:00Z,PT30M
3.8074,3.2948,3.8074,2026-09-04T09:30:00Z,PT30M
4.1287,3.5559,4.1287,2026-09-04T10:00:00Z,PT30M
4.3476,3.7278,4.3476,2026-09-04T10:30:00Z,PT30M
4.5041,3.8439,4.5041,2026-09-04T11:00:00Z,PT30M
4.5893,3.8914,4.5893,2026-09-04T11:30:00Z,PT30M
4.5754,3.8408,4.5754,2026-09-04T12:00:00Z,PT30M
4.5369,3.7573,4.5369,2026-09-04T12:30:00Z,PT30M
4.4013,3.5964,4.4013,2026-09-04T13:00:00Z,PT30M
4.1963,3.3904,4.1963,2026-09-04T13:30:00Z,PT30M
3.9142,3.1143,3.9142,2026-09-04T14:00:00Z,PT30M
3.5841,2.8072,3.5841,2026-09-04T14:30:00Z,PT30M
3.1673,2.4411,3.1673,2026-09-04T15:00:00Z,PT30M
2.7038,2.0368,2.7038,2026-09-04T15:30:00Z,PT30M
2.1922,1.6071,2.1922,2026-09-04T16:00:00Z,PT30M
1.632,1.1401,1.632,2026-09-04T16:30:00Z,PT30M
1.0601,0.6829,1.0601,2026-09-04T17:00:00Z,PT30M
0.4966,0.2799,0.506,2026-09-04T17:30:00Z,PT30M
0.1146,0.0791,0.1203299999999999,2026-09-04T18:00:00Z,PT30M
0.0066,0.0033,0.0066,2026-09-04T18:30:00Z,PT30M
0.0,0.0,0.0,2026-09-04T19:00:00Z,PT30M
0.0,0.0,0.0,2026-09-04T19:30:00Z,PT30M
0.0,0.0,0.0,2026-09-04T20:00:00Z,PT30M
0.0,0.0,0.0,2026-09-04T20:30:00Z,PT30M
0.0,0.0,0.0,2026-09-04T21:00:00Z,PT30M
0.0,0.0,0.0,2026-09-04T21:30:00Z,PT30M
0.0,0.0,0.0,2026-09-04T22:00:00Z,PT30M
0.0,0.0,0.0,2026-09-04T22:30:00Z,PT30M
0.0,0.0,0.0,2026-09-04T23:00:00Z,PT30M
0.0,0.0,0.0,2026-09-04T23:30:00Z,PT30M
0.0,0.0,0.0,2026-09-05,PT30M
0.0,0.0,0.0,2026-09-05T00:30:00Z,PT30M
0.0,0.0,0.0,2026-09-05T01:00:00Z,PT30M
0.0,0.0,0.0,2026-09-05T01:30:00Z,PT30M
0.0,0.0,0.0,2026-09-05T02:00:00Z,PT30M
0.0,0.0,0.0,2026-09-05T02:30:00Z,PT30M
0.0,0.0,0.0,2026-09-05T03:00:00Z,PT30M
0.0,0.0,0.0,2026-09-05T03:30:00Z,PT30M
0.0,0.0,0.0,2026-09-05T04:00:00Z,PT30M
0.0,0.0,0.0,2026-09-05T04:30:00Z,PT30M
0.0,0.0,0.0,2026-09-05T05:00:00Z,PT30M
0.028,0.018,0.0294,2026-09-05T05:30:00Z,PT30M
0.1985,0.1116,0.2048,2026-09-05T06:00:00Z,PT30M
0.7117,0.3335,0.7271,2026-09-05T06:30:00Z,PT30M
1.2964,0.696,1.3409,2026-09-05T07:00:00Z,PT30M
1.8428,1.0713,1.9101,2026-09-05T07:30:00Z,PT30M
2.3627,1.4546,2.4744,2026-09-05T08:00:00Z,PT30M
2.8568,1.8004,3.0015,2026-09-05T08:30:00Z,PT30M
3.2885,2.12,3.4603,2026-09-05T09:00:00Z,PT30M
3.6496,2.3948,3.8372,2026-09-05T09:30:00Z,PT30M
3.9404,2.6525,4.1451,2026-09-05T10:00:00Z,PT30M
4.1653,2.8394,4.3797,2026-09-05T10:30:00Z,PT30M
4.2998,2.9466,4.5176,2026-09-05T11:00:00Z,PT30M
4.3808,3.0143,4.6126,2026-09-05T11:30:00Z,PT30M
4.3546,3.0106,4.6177,2026-09-05T12:00:00Z,PT30M
4.2948,2.9449,4.5529,2026-09-05T12:30:00Z,PT30M
4.2282,2.8221,4.4571,2026-09-05T13:00:00Z,PT30M
4.0593,2.636,4.2662,2026-09-05T13:30:00Z,PT30M
3.8049,2.4097,4.0034,2026-09-05T14:00:00Z,PT30M
3.4708,2.1361,3.6684,2026-09-05T14:30:00Z,PT30M
3.0607,1.8175,3.2522,2026-09-05T15:00:00Z,PT30M
2.6115,1.4566,2.7935,2026-09-05T15:30:00Z,PT30M
2.1098,1.0937,2.2538,2026-09-05T16:00:00Z,PT30M
1.5487,0.7171,1.6748,2026-09-05T16:30:00Z,PT30M
1.0021,0.3929,1.0995,2026-09-05T17:00:00Z,PT30M
0.4622,0.138,0.5131,2026-09-05T17:30:00Z,PT30M
0.1047,0.0452,0.109935,2026-09-05T18:00:00Z,PT30M
0.007,0.0035,0.007,2026-09-05T18:30:00Z,PT30M
0.0,0.0,0.0,2026-09-05T19:00:00Z,PT30M
0.0,0.0,0.0,2026-09-05T19:30:00Z,PT30M
0.0,0.0,0.0,2026-09-05T20:00:00Z,PT30M
0.0,0.0,0.0,2026-09-05T20:30:00Z,PT30M
0.0,0.0,0.0,2026-09-05T21:00:00Z,PT30M
0.0,0.0,0.0,2026-09-05T21:30:00Z,PT30M
0.0,0.0,0.0,2026-09-05T22:00:00Z,PT30M
0.0,0.0,0.0,2026-09-05T22:30:00Z,PT30M
0.0,0.0,0.0,2026-09-05T23:00:00Z,PT30M
0.0,0.0,0.0,2026-09-05T23:30:00Z,PT30M
0.0,0.0,0.0,2026-09-06,PT30M
0.0,0.0,0.0,2026-09-06T00:30:00Z,PT30M
0.0,0.0,0.0,2026-09-06T01:00:00Z,PT30M
0.0,0.0,0.0,2026-09-06T01:30:00Z,PT30M
0.0,0.0,0.0,2026-09-06T02:00:00Z,PT30M
0.0,0.0,0.0,2026-09-06T02:30:00Z,PT30M
0.0,0.0,0.0,2026-09-06T03:00:00Z,PT30M
0.0,0.0,0.0,2026-09-06T03:30:00Z,PT30M
0.0,0.0,0.0,2026-09-06T04:00:00Z,PT30M
0.0,0.0,0.0,2026-09-06T04:30:00Z,PT30M
0.0,0.0,0.0,2026-09-06T05:00:00Z,PT30M
0.0264,0.0075,0.02772,2026-09-06T05:30:00Z,PT30M
0.1881,0.0604,0.2079,2026-09-06T06:00:00Z,PT30M
0.665,0.1607,0.7595,2026-09-06T06:30:00Z,PT30M
1.2694,0.4063,1.396,2026-09-06T07:00:00Z,PT30M
1.864,0.6831,2.0348,2026-09-06T07:30:00Z,PT30M
2.4096,0.9598,2.6334,2026-09-06T08:00:00Z,PT30M
2.9197,1.2051,3.1829,2026-09-06T08:30:00Z,PT30M
3.38,1.4325,3.6539,2026-09-06T09:00:00Z,PT30M
3.7806,1.6247,4.0622,2026-09-06T09:30:00Z,PT30M
4.1111,1.7972,4.3883,2026-09-06T10:00:00Z,PT30M
4.3413,1.9039,4.637,2026-09-06T10:30:00Z,PT30M
4.4844,1.9377,4.8154,2026-09-06T11:00:00Z,PT30M
4.5287,1.9324,4.8896,2026-09-06T11:30:00Z,PT30M
4.5169,1.8891,4.9036,2026-09-06T12:00:00Z,PT30M
4.4813,1.8777,4.8591,2026-09-06T12:30:00Z,PT30M
4.3788,1.8769,4.6951,2026-09-06T13:00:00Z,PT30M
4.2345,1.8309,4.4975,2026-09-06T13:30:00Z,PT30M
3.9804,1.7136,4.2033,2026-09-06T14:00:00Z,PT30M
3.6344,1.565,3.8359,2026-09-06T14:30:00Z,PT30M
3.2215,1.374,3.4281,2026-09-06T15:00:00Z,PT30M
2.7424,1.1427,2.9235,2026-09-06T15:30:00Z,PT30M
2.2448,0.8817,2.3829,2026-09-06T16:00:00Z,PT30M
1.6768,0.5954,1.7927,2026-09-06T16:30:00Z,PT30M
1.0712,0.3271,1.1565,2026-09-06T17:00:00Z,PT30M
0.4958,0.1173,0.5534,2026-09-06T17:30:00Z,PT30M
0.1047,0.0348,0.109935,2026-09-06T18:00:00Z,PT30M
0.0035,0.0,0.0035,2026-09-06T18:30:00Z,PT30M
0.0,0.0,0.0,2026-09-06T19:00:00Z,PT30M
0.0,0.0,0.0,2026-09-06T19:30:00Z,PT30M
0.0,0.0,0.0,2026-09-06T20:00:00Z,PT30M
0.0,0.0,0.0,2026-09-06T20:30:00Z,PT30M
0.0,0.0,0.0,2026-09-06T21:00:00Z,PT30M
0.0,0.0,0.0,2026-09-06T21:30:00Z,PT30M
0.0,0.0,0.0,2026-09-06T22:00:00Z,PT30M
0.0,0.0,0.0,2026-09-06T22:30:00Z,PT30M
0.0,0.0,0.0,2026-09-06T23:00:00Z,PT30M
0.0,0.0,0.0,2026-09-06T23:30:00Z,PT30M
0.0,0.0,0.0,2026-09-07,PT30M
0.0,0.0,0.0,2026-09-07T00:30:00Z,PT30M
0.0,0.0,0.0,2026-09-07T01:00:00Z,PT30M
0.0,0.0,0.0,2026-09-07T01:30:00Z,PT30M
0.0,0.0,0.0,2026-09-07T02:00:00Z,PT30M
0.0,0.0,0.0,2026-09-07T02:30:00Z,PT30M
0.0,0.0,0.0,2026-09-07T03:00:00Z,PT30M
0.0,0.0,0.0,2026-09-07T03:30:00Z,PT30M
0.0,0.0,0.0,2026-09-07T04:00:00Z,PT30M
0.0,0.0,0.0,2026-09-07T04:30:00Z,PT30M
0.0,0.0,0.0,2026-09-07T05:00:00Z,PT30M
0.0224,0.0075,0.02352,2026-09-07T05:30:00Z,PT30M
0.1827,0.0561,0.1961,2026-09-07T06:00:00Z,PT30M
0.6718,0.1518,0.7511,2026-09-07T06:30:00Z,PT30M
1.2476,0.384,1.3636,2026-09-07T07:00:00Z,PT30M
1.8513,0.6694,1.9861,2026-09-07T07:30:00Z,PT30M
2.4007,0.9628,2.5737,2026-09-07T08:00:00Z,PT30M
2.8854,1.2185,3.0689,2026-09-07T08:30:00Z,PT30M
3.3511,1.4605,3.5354,2026-09-07T09:00:00Z,PT30M
3.7193,1.6706,3.9015,2026-09-07T09:30:00Z,PT30M
4.0129,1.8341,4.1841,2026-09-07T10:00:00Z,PT30M
4.2506,1.9679,4.4162,2026-09-07T10:30:00Z,PT30M
4.3917,2.0491,4.562,2026-09-07T11:00:00Z,PT30M
4.438,2.083,4.6105,2026-09-07T11:30:00Z,PT30M
4.4182,2.078,4.5832,2026-09-07T12:00:00Z,PT30M
4.2968,1.9853,4.5093,2026-09-07T12:30:00Z,PT30M
4.0697,1.8056,4.3713,2026-09-07T13:00:00Z,PT30M
3.7896,1.6334,4.166,2026-09-07T13:30:00Z,PT30M
3.4532,1.428,3.8939,2026-09-07T14:00:00Z,PT30M
3.0633,1.1984,3.5401,2026-09-07T14:30:00Z,PT30M
2.6031,0.9373,3.116,2026-09-07T15:00:00Z,PT30M
2.1335,0.6863,2.6524,2026-09-07T15:30:00Z,PT30M
1.6465,0.4655,2.1378,2026-09-07T16:00:00Z,PT30M
1.1366,0.2459,1.5747,2026-09-07T16:30:00Z,PT30M
0.6552,0.1146,0.9885,2026-09-07T17:00:00Z,PT30M
0.2363,0.0428,0.444,2026-09-07T17:30:00Z,PT30M
0.0597,0.01,0.0835,2026-09-07T18:00:00Z,PT30M
0.0,0.0,0.0,2026-09-07T18:30:00Z,PT30M
0.0,0.0,0.0,2026-09-07T19:00:00Z,PT30M
0.0,0.0,0.0,2026-09-07T19:30:00Z,PT30M
0.0,0.0,0.0,2026-09-07T20:00:00Z,PT30M
0.0,0.0,0.0,2026-09-07T20:30:00Z,PT30M
0.0,0.0,0.0,2026-09-07T21:00:00Z,PT30M
0.0,0.0,0.0,2026-09-07T21:30:00Z,PT30M
0.0,0.0,0.0,2026-09-07T22:00:00Z,PT30M
0.0,0.0,0.0,2026-09-07T22:30:00Z,PT30M
0.0,0.0,0.0,2026-09-07T23:00:00Z,PT30M
0.0,0.0,0.0,2026-09-07T23:30:00Z,PT30M
0.0,0.0,0.0,2026-09-08,PT30M
0.0,0.0,0.0,2026-09-08T00:30:00Z,PT30M
0.0,0.0,0.0,2026-09-08T01:00:00Z,PT30M
0.0,0.0,0.0,2026-09-08T01:30:00Z,PT30M
0.0,0.0,0.0,2026-09-08T02:00:00Z,PT30M
0.0,0.0,0.0,2026-09-08T02:30:00Z,PT30M
0.0,0.0,0.0,2026-09-08T03:00:00Z,PT30M
0.0,0.0,0.0,2026-09-08T03:30:00Z,PT30M
0.0,0.0,0.0,2026-09-08T04:00:00Z,PT30M
0.0,0.0,0.0,2026-09-08T04:30:00Z,PT30M
0.0,0.0,0.0,2026-09-08T05:00:00Z,PT30M
0.0182,0.0036,0.01911,2026-09-08T05:30:00Z,PT30M
0.1579,0.0288,0.1736,2026-09-08T06:00:00Z,PT30M
0.5843,0.09,0.682,2026-09-08T06:30:00Z,PT30M
1.1152,0.1927,1.2718,2026-09-08T07:00:00Z,PT30M
1.657,0.3912,1.8558,2026-09-08T07:30:00Z,PT30M
2.1923,0.5954,2.404,2026-09-08T08:00:00Z,PT30M
2.6852,0.7792,2.928,2026-09-08T08:30:00Z,PT30M
3.0991,0.9426,3.373,2026-09-08T09:00:00Z,PT30M
3.4388,1.0828,3.7416,2026-09-08T09:30:00Z,PT30M
3.734,1.2145,4.058,2026-09-08T10:00:00Z,PT30M
3.9735,1.3205,4.3116,2026-09-08T10:30:00Z,PT30M
4.1307,1.4073,4.4543,2026-09-08T11:00:00Z,PT30M
4.2172,1.4469,4.5331,2026-09-08T11:30:00Z,PT30M
4.2176,1.446,4.5319,2026-09-08T12:00:00Z,PT30M
4.1137,1.3945,4.4588,2026-09-08T12:30:00Z,PT30M
3.9407,1.2793,4.3417,2026-09-08T13:00:00Z,PT30M
3.7122,1.1515,4.1738,2026-09-08T13:30:00Z,PT30M
3.4081,1.005,3.9078,2026-09-08T14:00:00Z,PT30M
3.0252,0.8411,3.5322,2026-09-08T14:30:00Z,PT30M
